id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
685673,Caprimulgus,macrurus,,Large-tailed Nightjar,AUDEVARD Aurélien,Australia,"Crystal Creek, Townsville City, Queensland",-18.98,146.2542,50,"adult, male, song",//www.xeno-canto.org/685673,//www.xeno-canto.org/685673/download,XC685673-Engoulevent de Horsfield 07122019 - Big Crystal Creek - Australie.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC685673-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC685673-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC685673-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC685673-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:26,19:00,2019-12-07,2021-11-10,[''],,no,no
677153,Caprimulgus,macrurus,,Large-tailed Nightjar,Abdus Shakur,India,"Wildlife Institute of India, Dehradun, Uttarakhand, India",30.2825,77.9748,600,"adult, sex uncertain, song",//www.xeno-canto.org/677153,//www.xeno-canto.org/677153/download,XC677153-Large_tailed_Nightjar_WII_H.wav,"{'small': '//www.xeno-canto.org/sounds/uploaded/SYZTAXZZJX/ffts/XC677153-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SYZTAXZZJX/ffts/XC677153-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SYZTAXZZJX/ffts/XC677153-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SYZTAXZZJX/ffts/XC677153-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,20:30,2020-03-29,2021-09-28,['Vanellus indicus'],was calling from the roof and flew later,yes,no
664203,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,James Lambert,Australia,"Charles Darwin University, Darwin Municipality, Northern Territory",-12.3764,130.8679,10,"adult, song",//www.xeno-canto.org/664203,//www.xeno-canto.org/664203/download,XC664203-large-tailed nightjar 18_53_50.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC664203-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC664203-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC664203-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC664203-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:37,18:53,2021-06-17,2021-07-21,[''],"gaps between successive groups of notes are frequently of x+x/2 beats; in other words, after a series of notes on a regular beat, the next series of notes will start on the offbeat, then the following will start on the offbeat of that - so back to the original onbeat, at least roughly; this is not true of all sets of vocalisations, but it is a very common feature; I also noticed this occurring with Singaporean subspecies bimaculatus",yes,no
664135,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,James Lambert,Australia,"Charles Darwin University, Darwin Municipality, Northern Territory",-12.3764,130.8679,10,"adult, song",//www.xeno-canto.org/664135,//www.xeno-canto.org/664135/download,XC664135-large-tailed nightjar 06_30_53.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC664135-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC664135-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC664135-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC664135-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:32,06:30,2021-06-08,2021-07-21,[''],background noise of flying fox colony,yes,no
660409,Caprimulgus,macrurus,,Large-tailed Nightjar,Asim Giri,India,"Egra (near  Rukminipur), Purba Medinipur, West Bengal",21.8941,87.5794,10,"adult, sex uncertain, song",//www.xeno-canto.org/660409,//www.xeno-canto.org/660409/download,"XC660409-29 Apr, 6.30 pm - Large-tailed Nightjar.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/VRTKVIDLNU/ffts/XC660409-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VRTKVIDLNU/ffts/XC660409-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VRTKVIDLNU/ffts/XC660409-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VRTKVIDLNU/ffts/XC660409-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,18:33,2021-04-29,2021-07-01,[''],,yes,no
649229,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,James Lambert,Australia,"Charles Darwin University, Darwin Municipality, Northern Territory",-12.3764,130.8679,10,"adult, call, song",//www.xeno-canto.org/649229,//www.xeno-canto.org/649229/download,XC649229-Large-tailed Nightjar 06_32_15.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649229-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649229-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649229-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649229-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:17,06:32,2021-05-10,2021-05-17,['Stomiopera unicolor'],typical tok-tok song from two individuals (one in background); also low pitched pulsating wok-wok call at beginning of recording (some background song of Flying Foxes),yes,no
649228,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,James Lambert,Australia,"Charles Darwin University, Darwin Municipality, Northern Territory",-12.3764,130.8679,10,"adult, call, song",//www.xeno-canto.org/649228,//www.xeno-canto.org/649228/download,XC649228-Large-tailed Nightjar 06_31_39.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649228-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649228-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649228-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649228-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:25,06:31,2021-05-10,2021-05-17,['Gerygone chloronota'],low pitched pulsating wok-wok call; typical tok-tok song from another individual begins towards end,yes,no
649227,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,James Lambert,Australia,"Charles Darwin University, Darwin Municipality, Northern Territory",-12.3764,130.8679,10,"adult, song",//www.xeno-canto.org/649227,//www.xeno-canto.org/649227/download,XC649227-Large-tailed Nightjar 06_28_15.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649227-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649227-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649227-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC649227-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:22,06:28,2021-05-10,2021-05-17,"['Lichmera indistincta', 'Entomyzon cyanotis']",typical tok-tok song; a sharp rise in frequency towards the end of recording,yes,no
646133,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,James Lambert,Australia,"Charles Darwin University, Darwin Municipality, Northern Territory",-12.3764,130.8679,10,"adult, song",//www.xeno-canto.org/646133,//www.xeno-canto.org/646133/download,XC646133-large-tailed nightjar 06_10_42.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC646133-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC646133-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC646133-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC646133-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:29,06:10,2021-04-26,2021-05-07,"['Vanellus miles', 'Lichmera indistincta']",typical 'chop chop chop' song; same call heard faintly in background,yes,no
643413,Caprimulgus,macrurus,schlegelii,Large-tailed Nightjar,James Lambert,Australia,"Charles Darwin University, Darwin Municipality, Northern Territory",-12.3764,130.8679,10,"adult, song",//www.xeno-canto.org/643413,//www.xeno-canto.org/643413/download,XC643413-Large-tailed Nightjar1 19_02_37.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC643413-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC643413-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC643413-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OHGEFOWNMD/ffts/XC643413-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,19:02,2021-04-24,2021-04-28,[''],typical vocalisation; made by single bird perched on naked branch,yes,no
